Zygiella
Zoraida
Mecardonia procumbens
Mazus miquelii
Mazus goodenifolius
Mazus fauriei
Mazus delavayi
Mazus alpinus
Mazus
Marumba sperchius
Marumba cristata bukaiana
Martes flavigula chrysospila
Marsdenia formosana
Marchantiophyta
Marchantiales
Marchantia polymorpha
Marchantia paleacea
Marchantia
Marasmius
Marasmiaceae
Mammalia
Malva neglecta
Malus hupehensis
Mallotus japonicus
Maleae
Malaxis monophyllos
Magnoliopsida
Magnolia compressa formosana
Magnolia compressa
Maesa japonica
Macrosemia matsumurai
Macrobrochis staudingeri
Machilus thunbergii
Machilus japonica
Macaca cyclopis
Lysionotus pauciflorus pauciflorus
Lysionotus pauciflorus
Lysimachia congestiflora
Lyonia ovalifolia
Lymantriinae
Lycostomus
Lycopodium japonicum
Lycopodium clavatum
Lycoperdon perlatum
Lycoperdaceae
Lycogala epidendrum
Lycocerus
Lycidae
Lycianthes lysimachioides
Lycaenidae
Luzula plumosa
Luzula parviflora
Luzula effusa
Luzula
Luperini
Lucanus maculifemoratus taiwanus
Lucanus formosanus
Loxogramme remotefrondigera
Lordithon
Lophura swinhoii
Lonicera acuminata
Lolium arundinaceum
Lobelia nummularia
Lobariaceae
Lobaria pulmonaria
Lobaria
Litsea elongata
Litsea cubeba
Litsea acuminata
Lithocarpus kawakamii
Liquidambar formosana
Lindera erythrocarpa
Lilium formosanum
Liliopsida
Ligustrum sinense
Ligustrum morrisonense
Ligularia stenocephala
Life
Lichenomphalia
Leucocoprinus
Leucauge
Lethe niitakana
Lethe isana
Lethe butleri
Leptaulax
Lepra amara
Lepisorus thunbergianus
Lepisorus pseudoussuriensis
Lepisorus obscurevenolusus
Lepisorus
Lepiota cristata
Lepidoptera
Lepidomicrosorium ningpoense
Lepidomicrosorium
Lentaria
Lemmaphyllum microphyllum
Leiothrichidae
Lecithoceridae
Lecanthus peduncularis
Lecanoromycetes
Lauraceae
Larentiinae
Lapsanastrum takasei
Langia zenzeroides
Lampyrini
Lamium hybridum
Lamiales
Lagriinae
Lagria formosensis
Lactuca indica
Lactarius
Kunugia undans
Kummerowia striata
Kuehneromyces mutabilis
Kosalya
