Dryopteris peranema
Ficus benguetensis
Causonis corniculata
Litsea hypophaea
Blumea lanceolaria
Casearia glomerata
Diplazium pseudodoederleinii
Engelhardia roxburghiana
Ampelopsis glandulosa
Smilax
Leptochilus ellipticus
Solanum capsicoides
Altica
Maianthemum formosanum
Phallus
Pseudocolus fusiformis
Soliva sessilis
Mecardonia procumbens
Rumex crispus
Hydrocotyle nepalensis
Harmonia dimidiata
Skimmia japonica
Bazzania
Trigonotis formosana
Symbrenthia lilaea
Arcte coerula
Trithemis festiva
Erebidae
Badamia exclamationis
Parantica sita niphonica
Glochidion acuminatum
Elateroidea
Casearia membranacea
Entoloma
Ogygioses
Fatsia polycarpa
Schistochila
Ardisia crenata
Rhododendron formosanum
Plagiogyria euphlebia
Arachniodes rhomboidea
Marchantiales
Russula sanguinea
Sarcoscyphaceae
Trithemis aurora
Euphaea formosa
Orthetrum pruinosum
Symplocos stellaris
Equisetum ramosissimum ramosissimum
Melastoma scaberrimum
Dysosma pleiantha
Celastrina lavendularis himilcon
Loepa formosensis
Somena scintillans
Notodontidae
Spilarctia subcarnea
Borbacha pardaria
Hyposidra
Herpetogramma
Lebeda nobilis
Phalera flavescens
Syntypistis
Erebus ephesperis
Cirrhochrista
Lemyra rhodophilodes
Eudocima homaena
Neocerura liturata
Euhampsonia formosana
Areas galactina formosana
Cyana
Spilomelinae
Lemyra
Geometroidea
Sacada
Parus monticolus
Alampla arcifraga
Ernolatia moorei
Papilio agestor matsumurae
Graphium cloanthus kuge
Arctiini
Lymantriinae
Euricania ocellus
Amauroderma
Asota heliconia
Leptobelus sauteri
Euterpnosia varicolor
Entoloma cyanonigrum
Oxalis griffithii
Asarum
Ellisiophyllum pinnatum
Juncus effusus
Nertera nigricarpa
Arisaema consanguineum
Amanita rufoferruginea
Russula
Toxicodendron orientale
Viburnum urceolatum
Barthea barthei
Selliguea engleri
Physopelta quadriguttata
Lysionotus pauciflorus
Microgastrinae
Astilbe longicarpa
Psechrus
Viburnum plicatum formosanum
Chlorophyllum molybdites
Phegopteris decursive-pinnata
Impatiens walleriana
Marsilea
Viola adenothrix
Viola formosana
Balanophora laxiflora
 
Vaccinium japonicum
Sphagnaceae
Rubus pectinellus
Dendropanax dentiger
Cantharidae
Diptera
Tetrigoidea
Crematogaster
Tineoidea
Cyclorrhapha
Salticidae
Justicia procumbens procumbens
Insecta
Conocephalum
Phalangioidea
Astilbe macroflora
Motacilla alba
Alpinia pricei
Alpinia zerumbet
Athyma
Cerace stipatana
Agelena
Neanotis formosana
Psychotria serpens
Eupatorium tashiroi
Murdannia bracteata
Dermaptera
Pentarhizidium orientale
Hedera rhombea
Clematis grata
Tripterospermum microphyllum
Symbrenthia lilaea lunica
Pluchea sagittalis
Zingiberales
Euproctis taiwana
Nephelomilta karenkonis
Bonnaya ruelloides
Clavaria fragilis
Nyctemera adversata
Odontolabis siva parryi
