Parapodisma
Parthenocissus tricuspidata
Leptodialepis nicevillei
Heteropoda pingtungensis
Tonga westwoodi
Papilio protenor
Phaneropterinae
Maclura cochinchinensis
Mecopoda niponensis
Pyrocoelia
Lycodon rufozonatus
Rhabdoblatta karnyi
Cyana hamata
Corymica deducta
Neoscona
Gnathopalystes taiwanensis
Argynnis hyperbius
Takydromus kuehnei
Symbrenthia brabira
Silbomyia cyanea
Cirrhochrista bracteolalis
Hypena
Cyclocodon lancifolius
Alampla arcifraga
Duolandrevus coulonianus
Metriorrhynchinae
Pollia
Syrphidae
Entoria
Pollia miranda
Psolodesmus mandarinus mandarinus
Eurema
Xylocopa tranquebarorum
Heterostemma brownii
Leptocorisa acuta
Fascellina chromataria
Crematogaster rogenhoferi
Psychidae
Ilema kosemponica
Micromus timidus
Conocephalus gigantius
Begonia
Arcte coerula
Rana sauteri
Geophila
Sloanea dasycarpa
Eterusia taiwana
Anotogaster klossi
Brasenia schreberi
Rhomboda yakusimensis
Mauremys sinensis
Athyma selenophora laela
Phaseoleae
Agaricomycetes
Taiwania cryptomerioides
Ducetia japonica
Tetrigidae
Euagoras plagiatus
Choreutis basalis
Jamides bochus
Oxya
Lissachatina fulica
Philagra kuskusuana
Aphanoconia hungerfordiana formosana
Petalochlamys
Statilia maculata
Neritimorpha
Luchuena luchuana
Myrma
Dalpada maculata
Toxeus magnus
Tetraphala collaris
Gadirtha inexacta
Lamprocoris lateralis
Copsychus malabaricus
Copsychus saularis
Symbrenthia lilaea
Acanthocoris scaber
Cybister
Prinia inornata
Goodyera procera
Euproctis inornata
Lasiocampidae
Cirsium japonicum
Acosmeryx naga
Sarcopyramis napalensis
Isoteinon lamprospilus formosanus
Dennstaedtia scandens
Smilacaceae
Eterusia aedea formosana
Musa itinerans
Sinopodisma
Amegilla urens
Epeus glorius
Cixiidae
Tenebrionidae
Sphenocorynes kosempoensis
Tanna
Arthrotus tricolor
Stemonitis
Neopanorpa youngi
Cylindera kaleea angulimaculata
Issidae
Acrididae
Cyclosa ginnaga
Eudocima homaena
Pancorius
Nageia nagi
