date,lat,lon,scientific_name,common_name,iconic_taxon_name,taxon_id,river
2017/5/6 00:00,24.50479544,121.5261312,Arachniodes amabilis fimbriata,斜方複葉耳蕨,Plantae,470993,TianGou
2017/4/30 00:00,24.50509777,121.5259589,Persicaria biconvexa,雙凸戟葉蓼,Plantae,899366,TianGou
2017/12/15 00:00,24.82750709,121.5222434,Microporus affinis,相鄰小孔菌,Fungi,179112,NanShi
2016/6/28 00:00,24.5381994,121.5115952,Dryopteris peranema,柄囊蕨,Plantae,604518,TuChang
2016/6/28 00:00,24.7564181,121.5946327,Dryopteris formosana,臺灣鱗毛蕨,Plantae,707089,CuKeng
2016/8/29 00:00,24.65351135,121.4710987,Hemielimaea formosana,臺灣半掩耳螽,Insecta,700231,FanFan
2017/12/2 00:00,24.66184167,121.56767,Motacilla alba,白鶺鴒,Aves,13695,SongLuo
2017/11/14 00:00,24.83771168,121.5339031,Teleopsis quadriguttata,四斑泰突眼蠅,Insecta,524496,NanShi
2017/11/14 00:00,24.83845234,121.5324651,Bipaliinae,廣頭地渦蟲亞科,Animalia,475765,NanShi
2017/11/14 00:00,24.8392695,121.5296545,Melanitis,暮眼蝶屬,Insecta,51585,NanShi
,24.85116546,121.499965,Neofelis nebulosa,雲豹,Mammalia,41972,NanShi
2013/3/19 00:00,24.6784728,121.3856627,Sphenomorphus indicus,印度蜓蜥,Reptilia,37541,SanGuang
2013/3/23 00:00,24.846689,121.551545,Microhyla fissipes,小雨蛙,Amphibia,66131,NanShi
2018/3/27 00:00,24.64630074,121.4706514,Phelotrupes formosanus,蓬萊雪隱金龜,Insecta,1147224,FanFan
2003/8/12 00:00,24.65055686,121.4724183,Opiliones,盲蛛目,Arachnida,47367,FanFan
2018/3/18 00:00,24.49820896,121.5347176,Coptis morii,森氏黃連,Plantae,870898,TianGou
2018/3/25 00:00,24.54016989,121.5368513,Magnoliopsida,木蘭綱,Plantae,47124,TianGou
2018/4/1 00:00,24.64998667,121.43502,Monotropastrum humile,水晶蘭,Plantae,337620,SanGuang
2018/4/1 00:00,24.64937,121.4353633,Cheiropleuria integrifolia,燕尾蕨,Plantae,577768,SanGuang
2016/6/29 00:00,24.7564181,121.5946327,Cercidiphyllum japonicum,連香樹,Plantae,133356,CuKeng
2018/4/1 00:00,24.64633833,121.4355083,Calanthe aristulifera,翹距根節蘭,Plantae,739721,SanGuang
2018/3/10 00:00,24.71041725,121.5671721,Calanthe striata,黃根節蘭,Plantae,83465,NanShi
2014/11/5 00:00,24.497724,121.5350318,Ardisia japonica,紫金牛,Plantae,158589,TianGou
2018/4/22 00:00,24.5452216,121.5088658,Oenanthe javanica,水芹菜,Plantae,359175,TuChang
2018/4/22 00:00,24.54514821,121.5086921,Excoecaria cochinchinensis,紅背桂,Plantae,345551,TuChang
2018/4/22 00:00,24.54517828,121.5086818,Rhododendron,杜鵑花屬,Plantae,49487,TuChang
2018/4/22 00:00,24.54517552,121.5086884,Prunus persica,桃花,Plantae,78755,TuChang
2018/4/22 00:00,24.54560008,121.5082477,Heptapleurum arboricola,鵝掌藤,Plantae,1239449,TuChang
2018/4/22 00:00,24.54561406,121.5083364,Citrus maxima,柚子,Plantae,54299,TuChang
2018/4/22 00:00,24.54564677,121.5083742,Eutacta,小果南洋杉組,Plantae,471098,TuChang
2018/4/22 00:00,24.54572026,121.5085937,Trema orientale,山黃麻,Plantae,147425,TuChang
2018/4/22 00:00,24.54569553,121.5087056,Piper kadsura,風藤,Plantae,522680,TuChang
2018/4/22 00:00,24.54569743,121.5086429,Nephrolepis cordifolia,腎蕨,Plantae,48233,TuChang
2018/4/22 00:00,24.85186467,121.5529148,Bidens alba,大花咸豐草,Plantae,1095846,NanShi
2018/4/22 00:00,24.54558004,121.5091209,Persicaria chinensis,火炭母,Plantae,204375,TuChang
2018/4/22 00:00,24.54668663,121.5090653,Ficus microcarpa,細葉榕,Plantae,54982,TuChang
2018/4/22 00:00,24.54761088,121.509703,Piper kadsura,風藤,Plantae,522680,TuChang
2018/4/22 00:00,24.54872317,121.5092818,Juniperus chinensis,檜柏,Plantae,135925,TuChang
2018/4/22 00:00,24.51993616,121.5393879,Calocedrus formosana,臺灣肖楠,Plantae,136295,TianGou
2018/4/22 00:00,24.55157916,121.5091124,Prunus mume,梅,Plantae,357447,TuChang
2018/4/22 00:00,24.55316487,121.5098283,Crassocephalum crepidioides,野茼蒿,Plantae,160957,TuChang
2018/4/22 00:00,24.55415656,121.5081451,Mazus pumilus,通泉草,Plantae,126376,TuChang
2018/4/22 00:00,24.55522052,121.5066419,Plantago major,大車前草,Plantae,58961,TuChang
2018/4/22 00:00,24.5558164,121.5056533,Ranunculus cantoniensis,水辣菜,Plantae,538174,TuChang
2018/4/22 00:00,24.55613692,121.5039771,Clinopodium gracile,光風輪,Plantae,160757,TuChang
2018/4/22 00:00,24.55599598,121.5027544,Polypogon fugax,棒頭草,Plantae,405144,TuChang
2018/4/22 00:00,24.55607307,121.5011298,Potentilla,蛇莓屬,Plantae,53186,TuChang
