Fejervarya limnocharis
Parmarion martensi
Chondracris rosea
Calletaera
Hylarana latouchii
Tonga westwoodi
Crambidae
Geothelphusa ilan
Nevrina procopia
Traulia
Eumelea ludovicata
Hypospila bolinoides
Mycalesis gotama
Ceriagrion fallax
Orthetrum pruinosum
Euricania ocellus
Graphium sarpedon
Athyma cama
Takydromus
Buergeria
Chrysaeglia magnifica
Orthoptera
Bastilla
Acrossocheilus paradoxus
Odorrana swinhoana
Eucarida
Geothelphusa
Rhinogobius candidianus
Burmannia itoana
Araneidae
Araneinae
Arachis pintoi
Rhyparus
Phlegmariurus sieboldii
Schoenoplectiella multiseta
Poecilocoris druraei
Panicum brevifolium
Asplenium wrightii
Pseudocyclosorus esquirolii
Boehmeria
Erpornis zantholeuca
Okiscarta uchidae
Eucosmetus formosus
Bothrogonia ferruginea
Conocephalus melaenus
Metaprodioctes formosanus
Neptis nata
Papilio bianor
Hamadruas hieroglyphica
