Metoeca foedalis
Dindica taiwana
Marpissa pulla
Piarosoma fushan
Formicidae
Laelia formosana
Styringomyia
Endotricha olivacealis
Achilidae
Tinginotum perlatum
Houttuynia cordata
Ypthima akragas
Papilio hopponis
Papilio helenus
Lethe verma
Notocrypta curvifascia
Mycalesis francisca
Heliophorus ila
Prosotas nora formosana
Shijimia moorei
Borbo cinnara
Hasora taminatus vairacana
Symbrenthia lilaea
Tagiades cohaerens
Luthrodes pandava
Nacaduba kurava
Hebomoia glaucippe
Phasmida
Tipulomorpha
Tetradium
Diplopterygium blotianum
Clinopodium
Cardamine hirsuta
Metathelypteris
Sarcopyramis napalensis
Amphistethus astarte
Tanaemyrmex
Eoophyla conjunctalis
Dysaethria erasaria
Barsine fuscozonata
Daclera levana
Phalacridae
Laemoglyptus
Dichromia
Murdannia bracteata
Euproctis
Mithuna arizana
Miresa fulgida
Hydrillodes
Tamba apicata
Monopis monachella
Ammatho tairadiata
Gargela renatusalis
Lomographa margarita
Aberrasine shiou
Hexataenius esakii
Opistoplatys sorex
Forficulidae
Hypena lignealis
Cyana formosana
Mimastra hsuehleeae
Laelia striata
Xenotrachea albidisca
Prosopocoilus formosanus
Chabula acamasalis
Oberthueria formosibia
Thyrididae
Diplopseustis perieresalis
Crambidae
Stenoloba manleyi
Cifuna locuples locuples
Tachys sericans
Katha emberifera
Lobophorodes nishizawai
Chlorodontopera taiwana
Coenodomus
Bertula bidentata
Limacodidae
Trichosanthes laceribractea
Cidariplura gladiata
Argiope
Opogona
Nudina artaxidia
Palpita nigropunctalis
Pergesa acteus
Tympanistes rubidorsalis
Rhodoneura
Tyspanodes striata
Pseudoglomeris
Syrmaticus mikado
Commelina communis
Hesperiinae
Persicaria senticosa
Plagodis reticulata
Arichanna pryeraria
Diarsia formosensis
Boarmiini
Nylanderia
